Seconds,R_Time,Depth,Lat,Long,Resp_Num,Sleep_Num,Stroke_Rate,Heart_Rate,heading,pitch,roll
354090,2021-04-09 11:56:18,-1.11547866250565,37.1165453864916,-122.322834609554,2,1,1.936378,80.12253,1.3613310959597,-0.187543834957365,0.27291657732734
354091,2021-04-09 11:56:19,-1.10592850500925,37.1165452636506,-122.322834493122,2,1,1.936378,78.75361,1.36054054318318,-0.195673676893298,0.271547386893021
354092,2021-04-09 11:56:20,-1.14540379606942,37.1165451408097,-122.32283437669,2,1,1.936378,79.14287,1.39082071276305,-0.193986355337439,0.278487459265348
354093,2021-04-09 11:56:21,-1.13438030242659,37.1165450179687,-122.322834260258,2,1,1.936378,77.62103,1.3851955723985,-0.198904400046693,0.271915657458554
354094,2021-04-09 11:56:22,-1.13619824375731,37.1165448951278,-122.322834143825,2,1,1.936378,76.66247,1.35381565933212,-0.192949216905764,0.269275575790468
354095,2021-04-09 11:56:23,-1.11216744822486,37.1165447722868,-122.322834027393,2,1,1.936378,77.94165,1.38218812997343,-0.188498074907733,0.271764555151352
354096,2021-04-09 11:56:24,-1.14398581582844,37.1165446494458,-122.322833910961,2,1,1.936378,77.70852,1.39079051283688,-0.219597806869307,0.263072863294513
354097,2021-04-09 11:56:25,-1.11934680365232,37.1165445266048,-122.322833794529,2,1,1.936378,78.49333,1.34424218614221,-0.212372490052488,0.272711066757425
354098,2021-04-09 11:56:26,-1.12227707885512,37.1165444037639,-122.322833678096,2,1,1.936378,78.77793,1.39111631497328,-0.196845474736043,0.270056289664024
354099,2021-04-09 11:56:27,-1.11557057229404,37.1165442809229,-122.322833561664,2,1,1.936378,78.24854,1.37971370128916,-0.202173675566666,0.272574457714279
354100,2021-04-09 11:56:28,-1.09876765069586,37.1165441580819,-122.322833445232,2,1,1.936378,77.39405,1.36340797807176,-0.201941985866434,0.275106847840142
354101,2021-04-09 11:56:29,-1.1182541868221,37.116544035241,-122.3228333288,2,1,1.936378,78.8426,1.37726671664542,-0.199316684992101,0.271003848845827
354102,2021-04-09 11:56:30,-1.1332581009924,37.1165439124,-122.322833212367,2,1,1.936378,78.4579,1.3710456342695,-0.203639775791894,0.277016163610517
354103,2021-04-09 11:56:31,-1.15166032864569,37.116543789559,-122.322833095935,2,1,1.936378,78.43079,1.36778352638065,-0.197451220372137,0.276489597532922
354104,2021-04-09 11:56:32,-1.11812216545445,37.1165436667181,-122.322832979503,2,1,1.936378,78.56149,1.34634111288877,-0.19899927487708,0.275368517326283
354105,2021-04-09 11:56:33,-1.12829596016544,37.1165435438771,-122.322832863071,2,1,1.936378,78.20241,1.36557509588369,-0.196206067575221,0.27515143498737
354106,2021-04-09 11:56:34,-1.10463861326419,37.1165434210361,-122.322832746638,2,1,1.936378,78.04082,1.39040291231499,-0.211913478104851,0.256659674771584
354107,2021-04-09 11:56:35,-1.16466818643261,37.1165432981951,-122.322832630206,2,1,1.936378,78.36705,1.38986697090772,-0.24730295869942,0.266693592666705
354108,2021-04-09 11:56:36,-1.13251408993523,37.1165431753542,-122.322832513774,2,1,1.936378,75.65592,1.37395404293968,-0.193747754816777,0.281874305086549
354109,2021-04-09 11:56:37,-1.07764953137944,37.1165430525132,-122.322832397342,2,1,1.936378,73.75875,1.36488345159809,-0.197316845395605,0.279943840236709
354110,2021-04-09 11:56:38,-1.10607039626695,37.1165429296722,-122.322832280909,2,1,1.936378,79.55914,1.37804888318751,-0.207099053444781,0.283541006475225
354111,2021-04-09 11:56:39,-1.12694406567383,37.1165428068313,-122.322832164477,2,1,1.936378,79.81077,1.36769552465753,-0.20717366934338,0.277351606080239
354112,2021-04-09 11:56:40,-1.12658774756858,37.1165426839903,-122.322832048045,2,1,1.936378,79.24083,1.36943603363516,-0.202235751803502,0.285040709215261
354113,2021-04-09 11:56:41,-1.18135261876437,37.1165425611493,-122.322831931613,2,1,1.936378,80.41037,1.36308791035014,-0.203188499106263,0.278967303300783
354114,2021-04-09 11:56:42,-1.14479356136787,37.1165424383084,-122.32283181518,2,1,1.936378,81.01211,1.35248826248263,-0.187742061597998,0.274386383271058
354115,2021-04-09 11:56:43,-1.14814019772752,37.1165423154674,-122.322831698748,2,1,1.675958,81.25041,1.36699407969123,-0.237423047794818,0.272142391077019
354116,2021-04-09 11:56:44,-1.13203261312994,37.1165421926264,-122.322831582316,2,1,1.155116,81.45489,1.38728740076415,-0.209277894960812,0.278098742353568
354117,2021-04-09 11:56:45,-1.09467000111495,37.1165420697855,-122.322831465884,2,1,1.155116,80.7537,1.36445458080179,-0.196746985974013,0.277134174253829
354118,2021-04-09 11:56:46,-1.15336046793957,37.1165419469445,-122.322831349451,2,1,1.155116,81.65751,1.36079332691078,-0.194231838024689,0.275497709296428
354119,2021-04-09 11:56:47,-1.16492730919646,37.1165418241035,-122.322831233019,2,1,1.155116,77.55663,1.36630112474764,-0.195267803349628,0.28449487824384
354120,2021-04-09 11:56:48,-1.12442605017853,37.1165417012625,-122.322831116587,2,1,1.155116,71.86229,1.38029853331997,-0.197687539578644,0.275791808613777
354121,2021-04-09 11:56:49,-1.13720056578218,37.1165415784216,-122.322831000155,2,1,1.155116,76.5213,1.37760376276224,-0.200626655744721,0.283825385614821
354122,2021-04-09 11:56:50,-1.1142158498658,37.1165414555806,-122.322830883722,2,1,1.155116,78.38943,1.36158263245448,-0.196949011614494,0.278340837071701
354123,2021-04-09 11:56:51,-1.12330741504426,37.1165413327396,-122.32283076729,2,1,1.155116,78.95221,1.36924854873769,-0.218473585299446,0.267577123177114
354124,2021-04-09 11:56:52,-1.1236749343156,37.1165412098987,-122.322830650858,2,1,1.155116,79.28461,1.38258139590387,-0.249607953465238,0.274211203121851
354125,2021-04-09 11:56:53,-1.1442187867552,37.1165410870577,-122.322830534426,2,1,1.155116,73.90324,1.37941844327004,-0.266297322051515,0.298022525249353
354126,2021-04-09 11:56:54,-1.15686855574052,37.1165409642167,-122.322830417994,2,1,1.155116,60.80476,1.35239406765342,-0.245341488594048,0.315049797896416
354127,2021-04-09 11:56:55,-1.12763504395921,37.1165408413757,-122.322830301561,2,1,1.155116,77.5748,1.36189800099802,-0.22678311183471,0.341754111528279
354128,2021-04-09 11:56:56,-1.13058270879519,37.1165407185348,-122.322830185129,2,1,1.155116,76.18461,1.39386841507799,-0.208385229374165,0.298544221747274
354129,2021-04-09 11:56:57,-1.14538522951375,37.1165405956938,-122.322830068697,2,1,1.155116,78.28373,1.43243623631776,-0.229160730661145,0.248527586678923
354130,2021-04-09 11:56:58,-1.12149762339569,37.1165404728528,-122.322829952265,2,1,1.155116,79.49865,1.43916464620841,-0.202758118325451,0.270788114481096
354131,2021-04-09 11:56:59,-1.12535967120771,37.1165403500119,-122.322829835832,2,1,1.155116,80.17621,1.39801982917829,-0.203008382119692,0.25367526376854
354132,2021-04-09 11:57:00,-1.1717103112986,37.1165402271709,-122.3228297194,2,1,1.155116,80.67404,1.39327237834529,-0.1798457653429,0.263247774492333
354133,2021-04-09 11:57:01,-1.13255882828777,37.1165401043299,-122.322829602968,2,1,1.155116,80.5882,1.39017169256081,-0.183486120593363,0.257548003564056
354134,2021-04-09 11:57:02,-1.15991587915546,37.1165399814889,-122.322829486536,2,1,1.155116,80.94753,1.4563234118744,-0.184223764768554,0.244632866748516
354135,2021-04-09 11:57:03,-1.1124151579454,37.116539858648,-122.322829370103,2,1,1.155116,81.68591,1.4043602422344,-0.20432128134569,0.263082530774584
354136,2021-04-09 11:57:04,-1.16781057679444,37.116539735807,-122.322829253671,2,1,1.155116,82.88314,1.415236446576,-0.188365721027733,0.258740586139089
354137,2021-04-09 11:57:05,-1.16398176001229,37.116539612966,-122.322829137239,2,1,1.155116,83.97685,1.39907366222011,-0.191877203256638,0.270757667531932
354138,2021-04-09 11:57:06,-1.13416753124759,37.1165394901251,-122.322829020807,2,1,1.155116,102.4877,1.42019259315077,-0.206756492173314,0.261865137242243
354139,2021-04-09 11:57:07,-1.15854536475143,37.1165393672841,-122.322828904374,2,1,1.155116,77.11487,1.38165898159555,-0.20031866338792,0.252453549334743
354140,2021-04-09 11:57:08,-1.16206947725543,37.1165392444431,-122.322828787942,2,1,1.155116,87.25793,1.40594706936429,-0.209052687645815,0.248976651153161
354141,2021-04-09 11:57:09,-1.14661051319155,37.1165391216021,-122.32282867151,2,1,1.155116,88.70729,1.38607573264306,-0.201460574374242,0.254646278429478
